affinity_name,status_report,offer_number,policy_number,zipcode_link,zip4,birth_date,brand,date_offer,date_request,policy_start_date,premium,buildyear_car,buildmonth_car,wa,wa_bep_ca,wa_ca,updated_on,,
Insuro,Requestwithdrawn,1000,10000,10000,2132,Jan-85,HYUNDAI,10/11/2018,10/11/2018,11/1/2018,686.04,2016,June,Y,NA,NA,10/11/2018,,
other,Tailoredofferwithdrawn,1001,NA,10001,6027,Apr-87,AUDI,10/11/2018,NA,NA,0,2015,June,N,N,N,10/12/2018,,
other,Incompleterequest,1002,NA,10002,3824,Nov-72,VOLKSWAGEN,10/11/2018,NA,NA,896.04,2016,April,NA,NA,Y,10/11/2018,,
other,Policycreated,1003,10002,10003,6921,Aug-83,MAZDA,10/11/2018,10/11/2018,10/12/2018,419.16,2009,June,NA,Y,NA,10/11/2018,,
other,Policycreated,1004,10003,10004,8266,Apr-90,VOLVO,10/12/2018,10/12/2018,11/1/2018,402.36,2003,January,Y,NA,NA,10/12/2018,,
Insuro,Calculatenewpremium,1005,NA,10005,9642,Sep-74,HYUNDAI,10/12/2018,NA,NA,366.48,2002,April,NA,NA,Y,10/12/2018,,
other,Calculatenewpremium,1006,NA,10006,6281,Jan-76,VOLKSWAGEN,10/12/2018,NA,NA,611.52,2002,November,Y,NA,NA,10/12/2018,,
other,Calculatenewpremium,1007,NA,10007,9451,Jan-50,SKODA,10/12/2018,NA,NA,839.52,2017,January,NA,NA,Y,10/12/2018,,what does updated on mean?
Insuro,Policycreated,1008,10004,10008,3081,Oct-53,TOYOTA,10/13/2018,10/14/2018,12/1/2018,279.12,2003,May,Y,NA,NA,10/15/2018,,
Seguros International Ltd.,Calculatenewpremium,1009,NA,10009,1333,Mar-94,TOYOTA,10/14/2018,NA,NA,323.4,1997,September,Y,NA,NA,10/14/2018,,
other,Requestrejected,1010,10005,10010,2272,Aug-91,BMW,10/14/2018,10/14/2018,10/16/2018,1391.16,2008,April,NA,NA,Y,10/16/2018,,
other,Incompleterequest,1011,NA,10011,3553,Nov-71,SKODA,10/14/2018,NA,NA,913.32,2016,February,NA,NA,Y,11/5/2018,,
other,Incompleterequest,1012,NA,10012,6214,Sep-92,TOYOTA,10/15/2018,NA,NA,564.6,2016,October,NA,NA,Y,10/15/2018,,
Insuro,Tailoredofferrejected,1013,NA,10013,4751,May-95,BMW,10/15/2018,NA,NA,0,2018,April,N,N,N,10/16/2018,,
Insuro,Calculatenewpremium,1014,NA,10013,4751,May-95,BMW,10/15/2018,NA,NA,NA,2018,April,N,N,N,10/15/2018,,
other,Incompleterequest,1015,NA,10014,7211,Mar-59,VOLVO,10/15/2018,NA,NA,527.52,2009,September,NA,NA,Y,10/15/2018,,
other,Calculatenewpremium,1016,NA,10014,7211,Mar-59,VOLVO,10/15/2018,NA,NA,515.64,2009,September,NA,NA,Y,10/15/2018,,
Insuro,Incompleterequest,1017,NA,10015,3077,Aug-66,OPEL,10/16/2018,NA,NA,314.52,2005,August,Y,NA,NA,10/16/2018,,
other,Calculatenewpremium,1018,NA,10016,3332,Jun-69,AUDI,10/16/2018,NA,NA,926.16,2017,March,NA,NA,Y,10/16/2018,,
Seguros International Ltd.,Policycreated,1019,10006,10017,2971,May-98,VOLKSWAGEN,10/16/2018,10/16/2018,10/20/2018,165.48,2000,April,Y,NA,NA,10/17/2018,,
other,Policycreated,1020,10007,10018,1013,Jul-66,PEUGEOT,10/17/2018,10/17/2018,11/2/2018,801.23,2012,September,NA,NA,Y,10/23/2018,,
Insuro,Personaloffer,1021,NA,10019,1097,Feb-70,DAEWOO,10/17/2018,NA,NA,198.96,2003,October,Y,NA,NA,10/23/2018,,
other,Policycreated,1022,10008,10020,9528,Feb-54,PEUGEOT,10/17/2018,10/17/2018,12/1/2018,328.78,2012,April,NA,NA,Y,10/18/2018,,
other,Policycreated,1023,10009,10020,9528,Feb-54,KIA,10/17/2018,10/17/2018,1/1/2019,147.91,2013,October,NA,Y,NA,10/18/2018,,
Insuro,Incompleterequest,1024,NA,10021,2331,Oct-63,HYUNDAI,10/17/2018,NA,NA,373.56,1999,August,Y,NA,NA,10/17/2018,,
Insuro,Policycreated,1025,10010,10022,2512,Aug-91,VOLKSWAGEN,10/18/2018,10/18/2018,10/19/2018,477.36,2009,March,Y,NA,NA,10/18/2018,,
Insuro,Incompleterequest,1026,NA,10015,3077,Aug-66,OPEL,10/18/2018,NA,NA,314.52,2005,August,Y,NA,NA,10/18/2018,,
Insuro,Calculatenewpremium,1027,NA,10023,2401,Jun-72,VOLVO,10/18/2018,NA,NA,718.56,1996,January,NA,NA,Y,10/18/2018,,
Insuro,Policycreated,1028,10011,10024,6942,May-67,VOLKSWAGEN,10/18/2018,10/18/2018,11/6/2018,327.48,2016,July,NA,NA,Y,10/18/2018,,
other,Incompleterequest,1029,NA,10015,3077,Aug-66,OPEL,10/18/2018,NA,NA,498.6,2005,August,Y,NA,NA,10/18/2018,,
other,Requestwithdrawn,1030,10012,10025,3205,Jan-62,VOLVO,10/18/2018,10/18/2018,11/1/2018,476.4,2007,June,NA,NA,Y,10/19/2018,,
Seguros International Ltd.,Incompleterequest,1031,NA,10026,1011,Nov-76,VOLVO,10/18/2018,NA,NA,340.2,2000,November,Y,NA,NA,10/18/2018,,
Insuro,Incompleterequest,1032,NA,10027,1901,Jul-95,VOLKSWAGEN,10/18/2018,NA,NA,256.8,2002,December,Y,NA,NA,10/18/2018,,
Insuro,Incompleterequest,1033,NA,10027,1901,Jul-95,VOLKSWAGEN,10/18/2018,NA,NA,256.8,2002,December,Y,NA,NA,10/18/2018,,
other,Policycreated,1034,10013,10028,2983,Mar-65,OPEL,10/18/2018,10/18/2018,11/1/2018,452.88,2010,June,NA,NA,Y,10/19/2018,,
other,Incompleterequest,1035,NA,10028,2983,Jun-93,RENAULT,10/18/2018,NA,NA,269.76,2003,June,Y,NA,NA,10/18/2018,,
Insuro,Calculatenewpremium,1036,NA,10029,3053,Nov-88,VOLKSWAGEN,10/18/2018,NA,NA,719.88,2002,June,NA,NA,Y,10/18/2018,,
other,Policycreated,1037,10014,10028,2983,Jun-93,RENAULT,10/18/2018,10/18/2018,11/1/2018,269.76,2003,June,Y,NA,NA,10/19/2018,,
Insuro,Policycreated,1038,10015,10030,2421,Aug-93,ALFA ROMEO,10/19/2018,10/19/2018,10/20/2018,395.49,2009,March,NA,Y,NA,10/22/2018,,
Insuro,Calculatenewpremium,1039,NA,10031,3111,Jan-63,PEUGEOT,10/19/2018,NA,NA,309.96,2016,March,NA,Y,NA,10/19/2018,,
other,Incompleterequest,1040,NA,10032,5051,Feb-62,PEUGEOT,10/19/2018,NA,NA,452.04,2015,February,NA,NA,Y,10/19/2018,,
other,Incompleterequest,1041,NA,10032,5051,Mar-63,PEUGEOT,10/19/2018,NA,NA,440.52,2015,February,NA,NA,Y,10/19/2018,,
other,Policycreated,1042,10016,10032,5051,Feb-61,PEUGEOT,10/20/2018,10/20/2018,12/1/2018,490.32,2015,February,NA,NA,Y,10/22/2018,,
Seguros International Ltd.,Incompleterequest,1043,NA,10033,8262,Apr-86,OPEL,10/20/2018,NA,NA,580.92,2013,June,NA,NA,Y,10/20/2018,,
Seguros International Ltd.,Policycreated,1044,10017,10033,8262,Apr-86,OPEL,10/20/2018,10/22/2018,10/23/2018,580.92,2013,June,NA,NA,Y,10/22/2018,,
Insuro,Incompleterequest,1045,NA,10034,3845,Mar-78,FORD,10/20/2018,NA,NA,373.56,2011,October,NA,Y,NA,10/20/2018,,
Insuro,Incompleterequest,1046,NA,10035,3074,Aug-79,VOLKSWAGEN,10/20/2018,NA,NA,739.68,2007,March,NA,Y,NA,10/20/2018,,
Seguros International Ltd.,Calculatenewpremium,1047,NA,10036,5954,Dec-69,MERCEDES-BENZ,10/21/2018,NA,NA,702.24,2004,August,NA,NA,Y,10/21/2018,,
Insuro,Calculatenewpremium,1048,NA,10027,1901,Jul-95,VOLKSWAGEN,10/21/2018,NA,NA,NA,2011,August,N,N,N,10/21/2018,,
Insuro,Incompleterequest,1049,NA,10037,3031,Apr-88,VOLKSWAGEN,10/21/2018,NA,NA,526.8,2007,January,Y,NA,NA,10/21/2018,,
Insuro,Requestwithdrawn,1050,10018,10038,2544,Sep-93,SEAT,10/21/2018,10/21/2018,10/22/2018,430.32,2006,January,Y,NA,NA,10/22/2018,,
Insuro,Calculatenewpremium,1051,NA,10039,2726,May-84,FORD,10/22/2018,NA,NA,348.96,2011,October,NA,NA,Y,10/22/2018,,
other,Incompleterequest,1052,NA,10040,2289,Dec-59,SEAT,10/22/2018,NA,NA,297.96,2012,December,Y,NA,NA,10/22/2018,,
other,Calculatenewpremium,1053,NA,10041,5964,Sep-61,FORD,10/23/2018,NA,NA,581.16,2017,July,NA,NA,Y,10/23/2018,,
other,Calculatenewpremium,1054,NA,10042,2582,NA,AUDI,10/23/2018,NA,NA,1542.36,2003,August,NA,Y,NA,10/23/2018,,
Seguros International Ltd.,Policycreated,1055,10019,10043,6824,Feb-72,FORD,10/23/2018,10/23/2018,11/1/2018,509.64,2012,March,NA,NA,Y,10/23/2018,,
Insuro,Incompleterequest,1056,NA,10044,8252,Oct-60,SUZUKI,10/23/2018,NA,NA,209.64,2000,October,Y,NA,NA,10/23/2018,,
Insuro,Incompleterequest,1057,NA,10045,8253,Oct-60,SUZUKI,10/23/2018,NA,NA,254.52,2000,October,Y,NA,NA,10/23/2018,,
Insuro,Policycreated,1058,10020,10045,8253,Nov-62,TOYOTA,10/23/2018,10/23/2018,12/1/2018,481.2,2016,May,NA,NA,Y,10/23/2018,,
Insuro,Policycreated,1059,10021,10045,8253,Oct-60,SUZUKI,10/23/2018,10/23/2018,12/1/2018,207.12,2000,October,Y,NA,NA,10/24/2018,,
other,Policycreated,1060,10022,10046,3892,Jul-55,FORD,10/24/2018,10/24/2018,10/25/2018,316.44,2007,June,NA,NA,Y,10/24/2018,,
other,Policycreated,1061,10023,10046,3892,Jan-55,VOLKSWAGEN,10/24/2018,10/24/2018,10/25/2018,588,2013,November,NA,NA,Y,10/25/2018,,
Insuro,Calculatenewpremium,1062,NA,10047,8225,Jul-89,VOLKSWAGEN,10/24/2018,NA,NA,275.04,1999,March,NA,Y,NA,10/24/2018,,
other,Policycreated,1063,10024,10048,3135,Jun-60,LANCIA,10/25/2018,10/25/2018,11/30/2018,301.56,2006,April,NA,Y,NA,10/25/2018,,
Seguros International Ltd.,Policycreated,1064,10025,10015,3077,Aug-66,OPEL,10/25/2018,10/25/2018,10/28/2018,381.84,2005,August,Y,NA,NA,10/25/2018,,
Insuro,Policycreated,1065,10026,10049,1066,Nov-94,PEUGEOT,10/25/2018,10/25/2018,10/26/2018,489.48,2006,May,NA,Y,NA,10/25/2018,,
other,Incompleterequest,1066,NA,10050,3905,Dec-48,VOLKSWAGEN,10/25/2018,NA,NA,518.64,2016,July,NA,NA,Y,10/25/2018,,
Insuro,Incompleterequest,1067,NA,10051,5731,Jan-59,HONDA,10/26/2018,NA,NA,599.28,2009,July,NA,NA,Y,10/26/2018,,
Insuro,Incompleterequest,1068,NA,10052,1213,Mar-55,RENAULT,10/26/2018,NA,NA,1319.76,2010,March,NA,Y,NA,10/26/2018,,
Insuro,Policycreated,1069,10027,10053,3903,Oct-69,SUZUKI,10/26/2018,10/26/2018,10/29/2018,230.28,2006,March,NA,Y,NA,10/26/2018,,
Insuro,Incompleterequest,1070,NA,10053,3903,Jun-99,SUZUKI,10/26/2018,NA,NA,641.88,2006,March,NA,Y,NA,10/26/2018,,
Insuro,Incompleterequest,1071,NA,10051,5731,Jan-59,HONDA,10/26/2018,NA,NA,599.28,2009,July,NA,NA,Y,10/26/2018,,
Insuro,Calculatenewpremium,1072,NA,10054,2563,Sep-80,PEUGEOT,10/26/2018,NA,NA,179.16,2001,March,Y,NA,NA,10/26/2018,,
Insuro,Incompleterequest,1073,NA,10055,6845,Nov-60,RENAULT,10/27/2018,NA,NA,267.48,2000,January,Y,NA,NA,10/27/2018,,
Seguros International Ltd.,Policycreated,1074,10028,10056,3522,Aug-65,TOYOTA,10/27/2018,10/29/2018,1/1/2019,266.14,2009,November,NA,Y,NA,10/29/2018,,
Insuro,Calculatenewpremium,1075,NA,10057,1827,Jul-95,SEAT,10/27/2018,NA,NA,NA,2018,October,N,N,N,10/27/2018,,
other,Incompleterequest,1076,NA,10058,3145,Feb-62,OPEL,10/28/2018,NA,NA,387,2018,September,NA,NA,Y,10/28/2018,,
other,Policycreated,1077,10029,10059,3192,Oct-65,HYUNDAI,10/28/2018,10/28/2018,12/1/2018,356.28,2005,September,NA,Y,NA,10/29/2018,,
other,Policycreated,1078,10030,10060,4251,May-76,AUDI,10/29/2018,10/29/2018,11/2/2018,667.68,2016,December,NA,NA,Y,10/30/2018,,
other,Policycreated,1079,10031,10060,4251,May-76,MAZDA,10/29/2018,10/29/2018,11/2/2018,531.6,2012,January,NA,NA,Y,10/30/2018,,
Seguros International Ltd.,Policycreated,1080,10032,10061,2023,Sep-93,FIAT,10/29/2018,10/29/2018,11/17/2018,266.4,2002,November,Y,NA,NA,10/30/2018,,
Seguros International Ltd.,Calculatenewpremium,1081,NA,10062,2991,Apr-91,RENAULT,10/29/2018,NA,NA,608.52,2006,February,NA,NA,Y,10/29/2018,,
Insuro,Calculatenewpremium,1082,NA,10063,6214,Mar-73,FORD,10/29/2018,NA,NA,416.4,2001,June,NA,NA,Y,10/29/2018,,
Insuro,Incompleterequest,1083,NA,10064,5627,Aug-98,CITROEN,10/29/2018,NA,NA,537.24,2005,November,NA,Y,NA,10/29/2018,,
other,Calculatenewpremium,1084,NA,10065,7482,Feb-62,BMW,10/29/2018,NA,NA,423,2009,February,NA,Y,NA,10/29/2018,,
other,Calculatenewpremium,1085,NA,10065,7482,Feb-62,CITROEN,10/29/2018,NA,NA,208.44,2005,September,Y,NA,NA,10/29/2018,,
Seguros International Ltd.,Incompleterequest,1086,NA,10066,4651,Nov-71,VOLKSWAGEN,10/29/2018,NA,NA,555.24,2011,January,NA,NA,Y,10/29/2018,,
other,Incompleterequest,1087,NA,10067,2011,Mar-86,TOYOTA,10/29/2018,NA,NA,331.68,2000,April,Y,NA,NA,10/29/2018,,
other,Policycreated,1088,10033,10068,2957,Jun-00,SEAT,10/30/2018,10/30/2018,10/31/2018,792.6,2005,April,NA,Y,NA,10/31/2018,,
other,Incompleterequest,1089,NA,10069,6245,Oct-92,OPEL,10/31/2018,NA,NA,521.4,2009,June,NA,Y,NA,10/31/2018,,
other,Calculatenewpremium,1090,NA,10070,4251,Aug-69,FORD,10/31/2018,NA,NA,1025.52,2013,May,NA,NA,Y,10/31/2018,,
other,Policycreated,1091,10034,10069,6245,Oct-92,OPEL,10/31/2018,10/31/2018,11/1/2018,521.4,2009,June,NA,Y,NA,10/31/2018,,
Insuro,Incompleterequest,1092,NA,10071,1061,Jan-82,OPEL,10/31/2018,NA,NA,510.36,2006,September,NA,Y,NA,10/31/2018,,
Insuro,Incompleterequest,1093,NA,10072,1621,Jul-87,OPEL,10/31/2018,NA,NA,0,2010,April,N,N,Y,10/31/2018,,
Insuro,Incompleterequest,1094,NA,10073,2911,Jul-57,FIAT,10/31/2018,NA,NA,330.24,2002,December,Y,NA,NA,10/31/2018,,
other,Calculatenewpremium,1095,NA,10074,3355,Mar-59,KIA,10/31/2018,NA,NA,504.6,2012,April,NA,NA,Y,10/31/2018,,
Insuro,Policycreated,1096,10035,10021,2331,Oct-63,SUZUKI,10/31/2018,10/31/2018,11/1/2018,377.76,1998,August,Y,NA,NA,10/31/2018,,
other,Calculatenewpremium,1097,NA,10075,1018,Jul-44,CITROEN,11/1/2018,NA,NA,315.48,2017,March,NA,NA,Y,11/1/2018,,
other,Personaloffer,1098,NA,10076,3077,Sep-41,TOYOTA,11/1/2018,NA,NA,626.16,2013,August,NA,NA,Y,11/5/2018,,
Insuro,Policycreated,1099,10036,10077,2805,May-74,PEUGEOT,11/1/2018,11/1/2018,11/4/2018,411.6,2000,August,Y,NA,NA,11/1/2018,,
other,Calculatenewpremium,1100,NA,10074,3355,Mar-96,TOYOTA,11/2/2018,NA,NA,897.12,2006,March,NA,NA,Y,11/2/2018,,
Insuro,Personaloffer,1101,NA,10078,5623,Mar-59,RENAULT,11/2/2018,NA,NA,528.84,2015,January,NA,NA,Y,11/2/2018,,
other,Calculatenewpremium,1102,NA,10074,3355,Mar-59,TOYOTA,11/2/2018,NA,NA,558.84,2006,March,NA,Y,NA,11/2/2018,,
other,Personaloffer,1103,NA,10079,2922,May-77,AUDI,11/2/2018,NA,NA,2158.68,2014,November,NA,NA,Y,11/5/2018,,
Insuro,Incompleterequest,1104,NA,10080,2411,Mar-76,NISSAN,11/2/2018,NA,NA,581.64,2010,July,NA,NA,Y,11/2/2018,,
other,Personaloffer,1105,NA,10081,6003,May-61,AUDI,11/2/2018,NA,NA,243.84,2006,May,Y,NA,NA,11/5/2018,,
other,Incompleterequest,1106,NA,10082,1335,Jul-76,MAZDA,11/2/2018,NA,NA,0,2001,January,Y,N,N,11/2/2018,,
Insuro,Incompleterequest,1107,NA,10083,5704,May-93,OPEL,11/2/2018,NA,NA,606.72,2005,July,NA,Y,NA,11/2/2018,,
Insuro,Policycreated,1108,10037,10084,1112,Dec-92,SUZUKI,11/3/2018,11/3/2018,11/6/2018,315.12,2002,January,Y,NA,NA,11/5/2018,,
Insuro,Incompleterequest,1109,NA,10085,3192,Apr-87,SUZUKI,11/3/2018,NA,NA,265.56,2002,April,Y,NA,NA,11/3/2018,,
Insuro,Incompleterequest,1110,NA,10085,3192,Apr-87,SUZUKI,11/3/2018,NA,NA,172.68,2002,April,Y,NA,NA,11/3/2018,,
other,Tailoredofferrejected,1111,NA,10086,3626,NA,MERCEDES-BENZ,11/4/2018,NA,NA,702.48,2002,July,NA,NA,Y,11/9/2018,,
Insuro,Policycreated,1112,10038,10080,2411,Mar-76,NISSAN,11/4/2018,11/4/2018,11/27/2018,620.4,2010,July,NA,NA,Y,11/5/2018,,
Insuro,Incompleterequest,1113,NA,10087,3181,Jan-88,SEAT,11/4/2018,NA,NA,445.2,2017,March,NA,NA,Y,11/4/2018,,
Seguros International Ltd.,Calculatenewpremium,1114,NA,10088,2731,Nov-77,FORD,11/4/2018,NA,NA,223.8,2002,September,NA,Y,NA,11/4/2018,,
Seguros International Ltd.,Personaloffer,1115,NA,10088,2731,Nov-77,FORD,11/4/2018,NA,NA,171.48,2002,September,Y,NA,NA,11/5/2018,,
other,Incompleterequest,1116,NA,10015,3077,Aug-66,VOLKSWAGEN,11/5/2018,NA,NA,1917.48,2015,February,NA,NA,Y,11/5/2018,,
other,Incompleterequest,1117,NA,10015,3077,Aug-66,OPEL,11/5/2018,NA,NA,733.68,2005,August,NA,Y,NA,11/5/2018,,
other,Calculatenewpremium,1118,NA,10015,3077,Aug-66,OPEL,11/5/2018,NA,NA,535.8,2005,August,NA,Y,NA,11/5/2018,,
Insuro,Incompleterequest,1119,NA,10084,1112,Dec-92,SUZUKI,11/5/2018,NA,NA,315.12,2002,January,Y,NA,NA,11/5/2018,,
other,Calculatenewpremium,1120,NA,10089,1015,Aug-46,CITROEN,11/5/2018,NA,NA,369.72,2003,July,Y,NA,NA,11/5/2018,,
Insuro,Requestrejected,1121,10039,10090,5211,Jan-91,SEAT,11/6/2018,11/6/2018,11/11/2018,338.88,2002,January,Y,NA,NA,11/7/2018,,
other,Calculatenewpremium,1122,NA,10091,1121,Jun-41,MERCEDES-BENZ,11/6/2018,NA,NA,NA,2003,June,N,N,N,11/6/2018,,
Insuro,Personaloffer,1123,NA,10063,6214,Mar-73,FORD,11/6/2018,NA,NA,199.32,2001,June,Y,NA,NA,11/6/2018,,
other,Policycreated,1124,10040,10092,7577,Jan-88,CITROEN,11/6/2018,11/6/2018,11/12/2018,662.4,2014,September,NA,NA,Y,11/6/2018,,
Insuro,Personaloffer,1125,NA,10063,6214,Jun-00,HYUNDAI,11/6/2018,NA,NA,436.68,2000,July,Y,NA,NA,11/6/2018,,
Insuro,Policycreated,1126,10041,10087,3181,Jan-88,SEAT,11/6/2018,11/6/2018,11/12/2018,445.2,2017,March,NA,NA,Y,11/7/2018,,
Insuro,Incompleterequest,1127,NA,10093,6561,Feb-74,SMART,11/6/2018,NA,NA,118.92,2001,April,Y,NA,NA,11/6/2018,,
Insuro,Requestwithdrawn,1128,10042,10093,6561,Feb-74,SMART,11/6/2018,11/6/2018,11/7/2018,118.98,2001,April,Y,NA,NA,11/7/2018,,
Insuro,Policycreated,1129,10043,10094,1399,Sep-94,SEAT,11/6/2018,11/6/2018,11/7/2018,286.8,2002,February,Y,NA,NA,11/9/2018,,
Insuro,Incompleterequest,1130,NA,10064,5627,Aug-98,CITROEN,11/6/2018,NA,NA,537.24,2005,November,NA,Y,NA,11/6/2018,,
Insuro,Policycreated,1131,10044,10064,5627,Aug-98,CITROEN,11/7/2018,11/7/2018,11/8/2018,537.24,2005,November,NA,Y,NA,11/7/2018,,
other,Calculatenewpremium,1132,NA,10095,3433,May-66,MITSUBISHI,11/7/2018,NA,NA,547.56,2016,January,NA,NA,Y,11/7/2018,,
Insuro,Calculatenewpremium,1133,NA,10096,6711,Dec-58,MAZDA,11/7/2018,NA,NA,228.72,2000,April,NA,Y,NA,11/7/2018,,
Insuro,Policycreated,1134,10045,10063,6214,Mar-73,FORD,11/7/2018,11/7/2018,11/8/2018,199.32,2001,June,Y,NA,NA,11/7/2018,,
Insuro,Calculatenewpremium,1135,NA,10097,2994,Apr-97,VOLKSWAGEN,11/8/2018,NA,NA,1425.12,2018,May,NA,NA,Y,11/8/2018,,
other,Calculatenewpremium,1136,NA,10098,2585,May-68,BMW,11/8/2018,NA,NA,996.96,2017,December,NA,NA,Y,11/8/2018,,
Seguros International Ltd.,Incompleterequest,1137,NA,10099,1092,Sep-89,FORD,11/8/2018,NA,NA,660.24,2009,March,NA,Y,NA,11/8/2018,,
other,Calculatenewpremium,1138,NA,10100,2711,Jul-81,CITROEN,11/8/2018,NA,NA,201.24,2004,April,NA,Y,NA,11/8/2018,,
Insuro,Policycreated,1139,10046,10101,8011,Apr-92,NISSAN,11/8/2018,12/5/2018,12/6/2018,291.24,1999,December,Y,NA,NA,12/5/2018,,
other,Calculatenewpremium,1140,NA,10102,4532,Oct-65,CITROEN,11/8/2018,NA,NA,384.84,2011,October,NA,NA,Y,11/8/2018,,
Insuro,Policycreated,1141,10047,10063,6214,Jun-00,HYUNDAI,11/8/2018,11/8/2018,11/9/2018,436.68,2000,July,Y,NA,NA,11/8/2018,,
Insuro,Incompleterequest,1142,NA,10087,3181,Feb-88,FORD,11/9/2018,NA,NA,318.36,2013,March,NA,NA,Y,11/9/2018,,
other,Personaloffer,1143,NA,10074,3355,Mar-96,TOYOTA,11/9/2018,NA,NA,439.92,2006,March,Y,NA,NA,11/9/2018,,
other,Calculatenewpremium,1144,NA,10103,2225,Dec-82,VOLVO,11/9/2018,NA,NA,1700.28,2014,December,NA,NA,Y,11/9/2018,,
Insuro,Policycreated,1145,10048,10104,2806,Oct-94,SEAT,11/9/2018,11/9/2018,11/10/2018,554.04,2010,October,Y,NA,NA,11/9/2018,,
other,Calculatenewpremium,1146,NA,10105,2652,Jun-93,PEUGEOT,11/9/2018,NA,NA,471.96,2010,October,NA,Y,NA,11/9/2018,,
other,Incompleterequest,1147,NA,10106,4388,Sep-84,KIA,11/10/2018,NA,NA,825.24,2015,December,NA,NA,Y,11/10/2018,,
Insuro,Policycreated,1148,10049,10107,1324,Jul-92,PEUGEOT,11/10/2018,11/10/2018,12/1/2018,479.64,2006,November,NA,Y,NA,11/10/2018,,
Seguros International Ltd.,Incompleterequest,1149,NA,10108,1276,Jan-66,TOYOTA,11/10/2018,NA,NA,347.64,2004,September,Y,NA,NA,11/10/2018,,
Insuro,Calculatenewpremium,1150,NA,10109,8731,Sep-62,VOLKSWAGEN,11/10/2018,NA,NA,181.08,2010,December,Y,NA,NA,11/10/2018,,
other,Personaloffer,1151,NA,10110,4306,Oct-46,SAAB,11/10/2018,NA,NA,219.72,2000,May,Y,NA,NA,11/13/2018,,
other,Policycreated,1152,10050,10111,3739,Jun-70,BMW,11/10/2018,11/10/2018,11/14/2018,694.08,2015,December,NA,NA,Y,11/12/2018,,
Insuro,Personalofferrejected,1153,NA,10112,4133,Dec-91,KIA,11/11/2018,NA,NA,118.08,2006,May,Y,NA,NA,11/24/2018,,
Insuro,Policycreated,1154,10051,10113,5764,Jan-91,CITROEN,11/11/2018,11/11/2018,11/12/2018,387.24,2012,January,N,Y,N,11/11/2018,,
other,Incompleterequest,1155,NA,10114,3225,Aug-82,SEAT,11/11/2018,NA,NA,652.44,2011,January,NA,NA,Y,11/11/2018,,
Seguros International Ltd.,Policycreated,1156,10052,10115,2562,Mar-77,PEUGEOT,11/11/2018,11/11/2018,12/1/2018,491.4,2004,October,Y,NA,NA,11/12/2018,,
other,Calculatenewpremium,1157,NA,10116,6433,Mar-82,PEUGEOT,11/11/2018,NA,NA,306.36,2004,January,NA,Y,NA,11/11/2018,,
Insuro,Incompleterequest,1158,NA,10117,3328,Sep-93,CITROEN,11/11/2018,NA,NA,404.64,2009,July,Y,NA,NA,11/11/2018,,
other,Incompleterequest,1159,NA,10118,2353,Mar-54,TOYOTA,11/11/2018,NA,NA,426.12,2012,May,NA,NA,Y,11/11/2018,,
Insuro,Calculatenewpremium,1160,NA,10119,8935,Feb-95,VOLVO,11/12/2018,NA,NA,1230,1996,April,NA,NA,Y,11/12/2018,,
Insuro,Calculatenewpremium,1161,NA,10005,9642,Sep-74,VOLKSWAGEN,11/12/2018,NA,NA,572.76,2009,August,NA,NA,Y,11/12/2018,,
Insuro,Calculatenewpremium,1162,NA,10005,9642,Sep-74,HYUNDAI,11/12/2018,NA,NA,519.6,2002,April,NA,NA,Y,11/12/2018,,
other,Policycreated,1163,10053,10106,4388,Sep-84,KIA,11/12/2018,11/12/2018,11/25/2018,734.52,2015,December,NA,NA,Y,11/12/2018,,
other,Personaloffer,1164,NA,10120,8861,Dec-59,AUDI,11/12/2018,NA,NA,285.72,2006,July,Y,NA,NA,11/13/2018,,
Insuro,Calculatenewpremium,1165,NA,10005,9642,Sep-74,VOLKSWAGEN,11/12/2018,NA,NA,572.76,2009,August,NA,NA,Y,11/12/2018,,
Insuro,Calculatenewpremium,1166,NA,10005,9642,Sep-74,HYUNDAI,11/12/2018,NA,NA,404.76,2002,April,Y,NA,NA,11/12/2018,,
other,Personaloffer,1167,NA,10121,3078,Dec-59,MINI,11/12/2018,NA,NA,729.6,2013,January,NA,NA,Y,11/12/2018,,
Seguros International Ltd.,Calculatenewpremium,1168,NA,10122,2592,May-50,RENAULT,11/12/2018,NA,NA,309.6,2003,February,NA,Y,NA,11/12/2018,,
Insuro,Calculatenewpremium,1169,NA,10005,9642,Sep-74,VOLKSWAGEN,11/12/2018,NA,NA,572.76,2009,August,NA,NA,Y,11/12/2018,,
Insuro,Policycreated,1170,10054,10097,2994,Apr-97,VOLKSWAGEN,11/12/2018,11/13/2018,11/15/2018,1415.16,2018,May,NA,NA,Y,11/13/2018,,
Insuro,Calculatenewpremium,1171,NA,10123,3134,Jun-73,MERCEDES-BENZ,11/12/2018,NA,NA,0,2009,June,N,N,N,11/12/2018,,
other,Policycreated,1172,10055,10118,2353,Mar-54,TOYOTA,11/12/2018,11/12/2018,1/1/2019,571.32,2012,May,NA,NA,Y,11/12/2018,,
Insuro,Policycreated,1173,10056,10124,3086,Oct-99,VOLKSWAGEN,11/12/2018,11/12/2018,11/13/2018,587.52,2000,September,Y,NA,NA,11/12/2018,,
Insuro,Calculatenewpremium,1174,NA,10125,2403,Dec-94,FORD,11/12/2018,NA,NA,579.6,2000,February,NA,Y,NA,11/12/2018,,
